"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
3,"Публичка","channel1698358110",-1,"2022-03-01 11:55:15","text","Дорогие друзья, теперь у нас появился телеграм-канал📱  Здесь мы будем информировать вас о самых интересных событиях библиотеки 👌👌 и, конечно, ждать обратной связи!  Welcome 🤗",0,0,0,0,0
4,"Публичка","channel1698358110",-1,"2022-03-01 14:00:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
5,"Публичка","channel1698358110",-1,"2022-03-01 15:56:34","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
6,"Публичка","channel1698358110",-1,"2022-03-01 15:56:34","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
7,"Публичка","channel1698358110",-1,"2022-03-01 16:00:46","text","❗Не забываем, что при посещении библиотеки необходимо предъявить QR-код либо сертификат, подтверждающий прививку от COVID-19, или справку либо сертификат о перенесенном коронавирусе (не позднее 6 месяцев)❗",0,0,0,0,0
8,"Публичка","channel1698358110",-1,"2022-03-02 12:26:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
9,"Публичка","channel1698358110",-1,"2022-03-02 12:30:31","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
10,"Публичка","channel1698358110",-1,"2022-03-02 12:57:38","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
11,"Публичка","channel1698358110",-1,"2022-03-02 12:58:41","text","В связи со сложной эпидемиологической ситуацией кинозал библиотеки сможет принять не более 125 человек. Контролировать число гостей будут сотрудники центра культурных программ.  При посещении необходимо предъявить QR-код либо сертификат, подтверждающий прививку от COVID-19, или справку либо сертификат о перенесенном коронавирусе (не позднее 6 месяцев).",0,0,0,0,0
13,"Публичка","channel1698358110",-1,"2022-03-02 14:59:56","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
14,"Публичка","channel1698358110",-1,"2022-03-03 13:22:10","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
15,"Публичка","channel1698358110",-1,"2022-03-03 13:34:33","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
16,"Публичка","channel1698358110",-1,"2022-03-03 13:35:12","text","В связи со сложной эпидемиологической ситуацией кинозал библиотеки сможет принять не более 125 человек.  Обращаем внимание, что посещение библиотеки возможно только при наличии одного из документов: QR-код либо сертификат, подтверждающий прививку от COVID-19 в электронном или бумажном виде, справка либо сертификат о перенесенном коронавирусе (не позднее 6 месяцев)/ справка о медицинских противопоказаниях к вакцинации.",0,0,0,0,0
18,"Публичка","channel1698358110",-1,"2022-03-03 15:47:33","link","В Ростове выставили на продажу книгу за 5 миллионов рублей 📗😲  О чем она по ссылке https://161.ru/text/culture/2022/02/28/70476983/  У нас Вы можете читать всё, что захотите абсолютно бесплатно 😊  Приходите!",0,0,0,0,0
19,"Публичка","channel1698358110",-1,"2022-03-03 15:50:45","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
20,"Публичка","channel1698358110",-1,"2022-03-03 16:19:32","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
21,"Публичка","channel1698358110",-1,"2022-03-05 23:08:41","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
22,"Публичка","channel1698358110",-1,"2022-03-07 22:08:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
23,"Публичка","channel1698358110",-1,"2022-03-09 13:22:44","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
24,"Публичка","channel1698358110",-1,"2022-03-09 13:23:25","text","Программа:  10-24 марта – Книжная выставка «Большая душа маленькой Японии» (зал новых поступлений, 1 этаж)  10-24 марта – Персональная выставка мастера суми-э Екатерины Жегуловой «Жизни легкое дыхание...» (отдел искусств, 1 этаж)  10 марта, 18.00 – открытие персональной выставки Екатерины Жегуловой «Жизни легкое дыхание...» и демонстрация техники суми-э (отдел искусств, 1 этаж)  12 марта, 14.00 – Лекция «Школьная форма как образец воспитания школьников», Наталья Вебер (Центр международных информационных ресурсов, 1 этаж)  12 марта, 16.00 – Специальная лекция абонемента «Эволюция и революция одежды»: «Театр Кабуки и театр Но на примере костюма», Анастасия Фертик (отдел искусств, 1 этаж)  13 марта, 15.00 – Лекция «Японская поэзия как виток современности. Мацуо Басё», Наталья Вебер (Центр международных информационных ресурсов, 1 этаж)  15 марта, 17.00 – Проект «Среда анимации»: анимационный фильм японского режиссёра Кацухиро Отомо «Воспоминания о будущем», Василина Хвостикова (литературная гостиная, 3 этаж)  19 марта, 13.00 – Лекция «Японский школьный фестиваль: интересный способ работы в коллективе», Наталья Вебер (Центр международных информационных ресурсов, 1 этаж)  19 марта, 15.00 – Мастер-класс по оригами «Тысяча журавлей», Наталья Коваленко (зал новых поступлений, 1 этаж)  20 марта, 13.00 – Лекция «Из жизни иероглифов», Маргарита Бережная (отдел искусств, 1 этаж)  20 марта, 15.00 – Мастер-класс «Техника кимекоми», Анастасия Фертик и Татьяна Овчинникова (отдел искусств, 1 этаж)  22 марта, 18.00 – Лекция «Традиционная музыка Японии», Ирина Липец (литературная гостиная, 3 этаж)",0,0,0,0,0
25,"Публичка","channel1698358110",-1,"2022-03-09 13:23:56","text","Вход свободный 😊",0,0,0,0,0
26,"Публичка","channel1698358110",-1,"2022-03-09 13:32:24","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
27,"Публичка","channel1698358110",-1,"2022-03-09 13:32:38","text","Об авторе:  Жегулова Екатерина (творческий псевдоним KaNa 華奈) – художник суми-э из Ростова-на-Дону. Руководитель художественной студии суми-э «Tanoshii sekai». Член группы художников «Сакура-Кай» под руководством профессора Ямада Мидори. Участник российских и международных выставок.  Ведет активную преподавательскую деятельность через организацию и проведение занятий, демонстраций и мастер-классов по суми-э. Произведения художницы находятся в частных коллекциях в России.  Вход свободный.",0,0,0,0,0
28,"Публичка","channel1698358110",-1,"2022-03-10 11:49:58","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
31,"Публичка","channel1698358110",-1,"2022-03-10 11:59:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
32,"Публичка","channel1698358110",-1,"2022-03-10 12:47:20","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
33,"Публичка","channel1698358110",-1,"2022-03-10 12:48:20","text","Программа:  16 марта в 18:00 (кинозал) – концерт «Российский джаз и его роль в мировом джазовом развитии!». Выступят студенты и преподаватели Ростовского колледжа искусств.  17 марта в 15:00 (кинозал) – вечер «Донские истоки российского джаза». В гостях: Владимир Попов, заслуженный артист России, музыкант, педагог, концертмейстер группы саксофонов оркестра Кима Назаретова. Кинус Юрий, музыковед, аранжировщик, педагог, кандидат искусствоведения, доцент РГК (Академии) им. С.В. Рахманинова, художественный руководитель и главный дирижёр джаз-оркестра Кима Назаретова, заслуженный деятель Всероссийского музыкального общества.  17 марта в 17:00 (кинозал) – фильм «Ноктюрн для аккордеона и памяти», режиссер Р.С. Розенблит. Фильм рассказывает о единственном в стране женском джазовом оркестре, который появился в Ростове в конце 1940-х годов.  17 марта в 17:20 (кинозал) – фильм «Мы из джаза», режиссер Карен Шахназаров. Музыкальная кинокомедия рассказывает о молодых энтузиастах, создавших в 1920-х один из первых в Советском Союзе джаз-банд.  18 марта в 18:00 (кинозал) – концерт детской джазовой школы им. Кима Назаретова.  19 марта в 18:00 (кинозал) – концерт Александра Поелуева и «Нью Центропезн» джаз-квартета (Арам Рустамянц – фортепиано, Андрей Мачнев – саксофон, Виталий Перов – бас, Григорий Дерацуев – барабаны)  С 16 по 19 марта (Отдел искусств, Центр международных информационных ресурсов) – книжная выставка «Джазовая весна в Публичке».  С 15 марта по 15 апреля (читальный зал отдела краеведения) – книжная выставка «Джаз по‑ростовски». Выставка раскрывает страницы ростовского джаза в лицах музыкантов, которые внесли вклад в становление и развитие профессионального джазового образования.",0,0,0,0,0
34,"Публичка","channel1698358110",-1,"2022-03-10 13:41:10","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
35,"Публичка","channel1698358110",-1,"2022-03-10 13:50:19","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
37,"Публичка","channel1698358110",-1,"2022-03-10 13:52:00","text","В связи со сложной эпидемиологической ситуацией Красный зал библиотеки сможет принять не более 25 человек.   Контролировать число гостей будут сотрудники Центра культурных программ.",0,0,0,0,0
38,"Публичка","channel1698358110",-1,"2022-03-10 15:28:23","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
39,"Публичка","channel1698358110",-1,"2022-03-11 11:30:48","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
40,"Публичка","channel1698358110",-1,"2022-03-11 15:54:51","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
41,"Публичка","channel1698358110",-1,"2022-03-11 15:54:54","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
42,"Публичка","channel1698358110",-1,"2022-03-11 15:57:43","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
43,"Публичка","channel1698358110",-1,"2022-03-11 16:15:56","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
44,"Публичка","channel1698358110",-1,"2022-03-11 19:59:36","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
45,"Публичка","channel1698358110",-1,"2022-03-11 21:43:14","text","ОТМЕНА ДВУХ ЛЕКЦИЙ❗  12 марта, 14.00 – Лекция «Школьная форма как образец воспитания школьников», Наталья Вебер (Центр международных информационных ресурсов, 1 этаж)  13, марта, 15.00 – Лекция «Японская поэзия как виток современности. Мацуо Басё», Наталья Вебер (Центр международных информационных ресурсов, 1 этаж).",0,0,0,0,0
46,"Публичка","channel1698358110",-1,"2022-03-12 14:45:01","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
47,"Публичка","channel1698358110",-1,"2022-03-12 14:50:56","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
