,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
0,2022-11-03 11:06:58,"Неудобно листать стену, чтобы найти мероприятие на конкретную дату?

Афиша всех опубликованных мероприятий по датам в обсуждении
https://vk.com/topic-23746107_49180355",1.0,1.0,vk,2,6,2,1575.0,167,1,2022,11,3,11
1,2023-02-15 10:42:46,"18 февраля в 19-30
[club8931856|СкитЪ] представит свою полную программу. 
В концерте так же примут участие наши друзья [id99262820|Вячеслав Захаров] - Человек-Трава и [id3245231|Наталья Верба] - танцы. 
 
Солнце и морской ветер на раскопках древнегреческого города Танаис, Ростовские подворотни и бескрайние Донские степи, Южный колорит и высокие традиции ""Заозёрной школы поэзии""— всё это СкитЪ, 
известная арт-фолк-рок группа из Ростова-на-Дону! 
Участники и лауреаты ряда всероссийских и международных фестивалей авторской песни. 
 
Вячеслав Захаров - Человек-Трава - 
мультиинструменталист, гость прогрессивных фестивалей, 
персонаж с гитарой, менестрель, путешественник и созерцатель. 
«Не массовая музыка. Акустическая психоделия, штучный вариант, музыка высшей пробы... Чтобы эти вещи понимать, нужна работа сознания. Эта музыка вне жанров… Вячеслав сам собой представляет свой особый жанр». 
После таких определений сложно не пойти на концерт Вячеслава Захарова («Человек-Трава»). Тем более, что определения эти, меткие и емкие, дает не кто-нибудь, а сам Анатолий (Жорж) Гуницкий – поэт, драматург, соавтор ПЕРВОГО АЛЬБОМА БГ! 
 
Дорогой Слушатель, без тебя чуда не произойдёт, поэтому мы тебя очень ждём! 
 
Многофункциональное творческое арт-пространство ART BAZAR, 
г. Ростов-на-Дону, пер. Островского, 47. 
18 февраля в 19:30 
Вход: 500 р",0.0,1.0,vk,0,20,9,624.0,1350,1,2023,2,2,10
2,2023-02-06 13:41:00,"концерт Ильи Соболева
 
📆 16 февраля в 19:00
🚩 Пересвет-арена (ул. Целиноградская 3) 
🎫 Купить билет: https://vk.cc/cllmWn
💵 2000 — 4500 ₽",0.0,1.0,vk,0,2,2,372.0,138,1,2023,2,0,13
3,2023-02-06 12:41:00,"День Дурака
 
📆 14 Февраля в 19:00 
🚩 Конгресс-холл ДГТУ (пл. Гагарина, 1)
🎫 Купить билет: https://vk.cc/cllmRx
💵 1200 — 4000 ₽

1 апреля – прекрасный денёк для преступления века! Шестеро чудиков, неудачников и придурков всех мастей очутились на необитаемом острове, где вляпались в опасное приключение. Что это: первоапрельская шутка, розыгрыш? Распутать дело берётся парочка азартных растяп: убойная старушка и невезучий коротышка — шеф полиции… Эх! Даже если шеф – дурак, не стоило поздравлять его с первым апреля! 
 
Идеальная комедия о лопухах, всегда готовых сесть в лужу, и убить наповал своей логикой. 
 
В ролях: 
1. народный артист Сергей Никоненко 
2. заслуженный артист Сергей Пиоро (""ректор"" из ""УНИВЕРа"", сериалов ""След"" и ""Профиль убийцы"") / заслуженный артист Андрей Леонов 
3. заслуженный. артист Владимир Долинский 
4. Олег Комаров (КВН, ""Сваты"") \ Алексей Моисеев (главные роли в сериалах ""Возвращение Мухтара""(2007-2017), ""Свидетели"" Светофоровы"") 
5. актриса и телеведущая Эвелина Бледанс 
6. Ольга Лифенцева 
 
Режиссер Сергей Щедрин",0.0,1.0,vk,0,1,1,473.0,1055,1,2023,2,0,12
4,2023-02-06 11:41:00,"Большой концерт Ани Лорак «THE BEST» 

📆 26 Апреля в 19:00 
🚩 КСК Экспресс (ул. Закруткина, 67А)
🎫 Купить билет: https://vk.cc/cllmO2
💵 1500 — 7000 ₽

Все ранее купленные билеты действительны и обмену НЕ подлежат. 

Самая востребованная певица современности, Дива Ани Лорак, покажет новую, особенную концертную программу 

Название «THE BEST» говорит само за себя: концерт состоит из лучших хитов и всеми любимых песен, а также премьер из нового альбома артистки, релиз которого состоялся совсем недавно!
 
Голос Ани Лорак способен перевернуть сознание и вернуть веру в себя, а её искренность не оставляет равнодушным никого, ведь ощущение волшебства остается в сердце каждого зрителя, побывавшего на концерте!
 
Сочетание качественной музыки, только живого звука, завораживающих хореографических постановок и оригинальных костюмов, мощного голоса и невероятной красоты – всё это ждёт вас на предстоящих шоу!",0.0,1.0,vk,0,1,1,291.0,908,1,2023,2,0,11
5,2023-02-06 10:41:00,"Концептуальная АРТ-ВЕЧЕРИНКА или
приглашение в атмосферу творчества и исторических интерьеров 19 века 
 
12 февраля | 19:00 
культурно-деловое пространство [club211280732|""Вокруг Центр""] (пр. Чехова 35/30)

 Что будет? 
 
- выставка художественных работ 
- мастер-класс по росписи одежды 
- поэтические перформансы и модные 
показы 
- DJ сет 
- богемный дресс-код 
- фотозона для ваших образов 
- творческая атмосфера 
 
Стоимость билета - 1100Р 
Для пар акция ко Дню Всех Влюбленных - стоимость билета 900Р для каждого 
 
Приобрести билет и получить парную скидку — по номеру 89043457120",0.0,1.0,vk,0,3,2,253.0,588,1,2023,2,0,10
6,2023-02-06 09:41:00,"Александр Малинин
 
📆 08 Марта в 19:00 
🚩 Конгресс-холл ДГТУ (пл. Гагарина, 1)
🎫 Купить билет: https://vk.cc/cllmFh
💵 1500 — 5500 ₽

Александр Малинин – народный артист России, обладатель именной звезды на московской ""Площади звезд"". 
 
Его творчество органично сочетает традиции русского романса и современное звучание. 
 
Концерты Малинина – это всегда океан эмоций, это музыка, которая возвышает и волнует, это классика и современное искусство в одночасье, это высочайшее исполнительское мастерство, многогранный талант и следование традициям русской вокальной школы, ведь артист уже на протяжении 40 лет исполняет романсы, и с каждым разом они становятся все более проникновенными, глубокими и совершенными.",0.0,1.0,vk,0,2,0,249.0,711,1,2023,2,0,9
7,2023-02-06 08:41:00,"7 февраля в 16:00 в отделе искусств [club118912990|Донской публичной библиотеки] состоится открытие выставки «Костюм. Образ и воплощение». 
 
Театральный костюм – это составная часть сценического образа актёра. Один из самых благородных объектов искусства. Будучи, в известном смысле, частью внешнего облика человека, он несёт в себе колоссальный материал для познания. 
 
В экспозиции представлены объёмные панно персонажей, куклы из бумаги и текстиля, выполненные в разных техниках. 
В работах отображены такие периоды, как Средневековье, Бургундская мода XV в., Италия XV в., Испания XVI в., Англия XVI в., Франция XVI–XVII вв., Ампир. 
 
Юлия Лиховид, член Союза художников России, представляет своих учеников – студентов 4-го курса Ростовского художественного училища имени М.Б. Грекова, специальность «Театрально-декорационное искусство» (по виду: Художественно-костюмерное оформление спектакля). 
 
На открытии пройдёт показ сценических костюмов разных эпох. 
 
Выставка продлится до 26 февраля. 
 
Вход свободный.",0.0,6.0,vk,0,3,1,229.0,1021,1,2023,2,0,8
8,2023-02-06 07:41:00,"Спектакь ""РаскольникOFF""

📆 06 февраля в 19:00
🚩 Дом Офицеров (пр. Будённовский, 34)
💵 1200 — 5000 ₽ 
 
 Спектакль идёт с одним антрактом
Продолжительность спектакля – 2 часа 30 минут

Классическая постановка с элементами современности, понятных для публики любого возраста, где размышления о вере и нравственности переплетаются с головокружительным детективным сюжетом, а от философии до убийства, от комнаты Родиона Романовича Раскольникова до дома старухи-процентщицы всего 730 шагов. 

Нищий и болезненно гордый студент Раскольников решает проверить, способен ли он на поступок, возвышающий его над «обычными» людьми. Для этого он убивает ростовщицу — а затем и ее сестру, случайно оказавшуюся на месте преступления. Имя убийцы и состав преступления известны с самого начала, а интригу составляет неотвратимое приближение наказания. 
 
Остросюжетность постановки совмещается с предвещающими экзистенциализм философскими вопросами о свободе личности. Какую цену придется заплатить Раскольникову за каждый свой шаг: к себе или от себя, к Богу или безверию, к любви или ненависти?.. «…Тут дело фантастическое, мрачное, дело современное, нашего времени случай-с, когда помутилось сердце человеческое…»",0.0,8.0,vk,0,2,0,311.0,1201,1,2023,2,0,7
9,2023-02-06 06:41:00,"🚉 Передвижная выставка-музей «Поезд Победы» посетит города Ростовской области. 
 
✅ Поезд сделает остановки в Волгодонске, Шахтах, Новочеркасске и Ростове-на-Дону. 
 
С 6 по 14 февраля жители и гости этих городов смогут бесплатно увидеть выставку, пройдя регистрацию на сайте проекта - поездпобеды.рф 
 
На портале проекта доступен и онлайн-просмотр экспозиций.",0.0,1.0,vk,0,3,6,891.0,361,1,2023,2,0,6
10,2023-02-05 19:57:48,"Итальянское лето в суровом феврале 
 
Неаполитанские песни и серенады, прелестные голоса певцов, южная нега. И все это в рамках концерта «Вернись в Сорренто», которым порадует уставших от февральской хмари и тоски ростовчан филармоническое творческое объединение «Классик-Концерт» уже 12 февраля, в воскресенье, в 15.00 в [club37021926|Музее изобразительных искусств]. 
 
Лечить от депрессии и хандры слушателей будут лауреаты международных конкурсов Олег Ковалёв, Андрей Шевченко, заслуженный артист Республики Ингушетия Дмитрий Кривоносов. 
Рецепты, они же билеты — в кассах [club66619731|Ростовской филармонии] и кассах [club37021926|музея].",0.0,1.0,vk,0,2,0,517.0,644,1,2023,2,6,19
