,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
0,2023-02-03 15:27:07,,0,0.0,vk,0,1,1,87,0,1,2023,2,4,15
1,2022-12-15 10:45:28,,0,0.0,vk,0,1,1,141,0,1,2022,12,3,10
2,2022-11-23 12:42:35,"ПОГУЛЯЕМ ПАРУ ЧАСОВ В СУББОТУ? 
26 ноября в 12:00 мы проведем кураторскую экскурсию по маршруту от Пушкинской 157-161 до Парамоновских складов. Покажем уличное искусство во всех его проявлениях — от нелегальных и фестивальных работ до спонтанных граффити и коммунальных интервенций. 
 
Идем по самым ярким фестивальным объектам. Это будет не классическая экскурсия, а настоящая уличная арт-медиация. Расскажем про авторов, стили и техники, коснемся истории уличного искусства. Вы узнаете истории, которые мы скрыли от СМИ и не выкладывали в соц.сетях. Поговорим об уличном искусстве, узнаем фестивальное закулисье. 
 
Утепляйтесь, запасайтесь чаем/кофе. Будем смотреть, говорить, ходить. 
Ведут: Ира Ровер, Мария Лаэда (фестиваль уличного искусства ""Ничего Страшного"") 
 
Старт: 12:00, Пушкинская 157-161, 500 ₽
Билеты тут (https://events.nethouse.ru/rnd/61469/)",0,1.0,vk,1,34,10,1210,862,1,2022,11,2,12
3,2022-11-04 12:39:50,"Прекрасно провели время сегодня на кураторской арт-медиации по уличному искусству. Спасибо всем гостям, с вами было супер интересно пообщаться! 
Ещё есть несколько мест на воскресенье. 
Билеты тут, (https://events.nethouse.ru/rnd/60287/) начнем в 12:00, гулять будем два часа.",0,3.0,vk,2,19,7,1091,276,1,2022,11,4,12
4,2022-11-04 08:51:42,"По многочисленным запросам проведем кураторскую арт-медиацию ещё и в воскресенье! Количество мест опять очень ограниченно, поспешите! 
 
https://events.nethouse.ru/rnd/60287/ 
 
(6 ноября, 12:00—14:00)",0,1.0,vk,1,4,0,301,201,1,2022,11,4,8
5,2022-10-28 16:49:59,"4 ноября в 12:00 мы сделаем то, чего давно не делали — проведем кураторскую экскурсию по уличному искусству во всех его проявлениях — от нелегальных и фестивальных работ до спонтанных граффити и коммунальных интервенций. 
 
Это будет даже не экскурсия, а уличная арт-медиация. Расскажем про авторов, стили и техники, коснемся истории уличного искусства. Вы узнаете истории, которые мы скрыли от СМИ и не выкладывали в соц.сетях. Будем смотреть, говорить, ходить. 
 
4 ноября обещают солнечную погоду и это выходной. Осень в Ростове лучшее время для прогулок. Обувайтесь удобно, одевайтесь по погоде, берите кофе. Гулять будем 2 часа. 
 
Ведут экскурсию/прогулку/медиацию — [id11407002|Ира Ровер] и [id85373627|Мария Лаэда] 
Стартуем 4 ноября в 12:00 в [club11921494|Художественная галерея «Ростов»] (Соборный, 22. 2 этаж) 
 
Стоимость экскурсии — 500 ₽, оплата по ссылке. (https://kultura-rnd.timepad.ru/event/2219346/)",0,2.0,vk,0,26,10,1420,919,1,2022,10,4,16
6,2022-10-19 11:48:04,,0,0.0,vk,0,3,1,291,0,1,2022,10,2,11
7,2022-09-30 15:42:43,"Завершилась итоговая выставка Школы уличного искусства. Можно смело говорить о том, что это был очень удачный проект.

Школа уличного искусства проходила в галерее два месяца, во время которых 20 юных художников учились взаимодействовать с общественным пространством, работать с разными материалами, смотреть на предметы и город другими глазами, изучали историю уличного искусства. Наши преподаватели – Ольга Бондарева и Игорь Поносов передали максимальное количество знаний слушателям курса.

Что дальше? Мы работаем над новой образовательной программой и скоро объявим другой курс. Следите за нашими соцсетями.

Проект ""Школа уличного искусства” реализован при поддержке Правительства Ростовской области.",0,6.0,api,0,25,2,903,706,0,2022,9,4,15
8,2022-08-29 07:11:27,"фильм о проекте ""ШКОЛА УЛИЧНОГО ИСКУССТВА""",0,1.0,vk,0,36,11,2307,42,1,2022,8,0,7
9,2022-08-26 11:07:06,,0,0.0,vk,0,12,2,426,0,1,2022,8,4,11
