"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
3,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-11 21:12:10","text","Проект “Ничего страшного” состоит из трех частей и включает в себя конференцию, выставку и резиденцию. Локация проекта Художественная галерея “Ростов”. Сроки проведения - апрель-май 2021 года.  Конференция рассмотрит вопросы развития, значения и контекста текстового граффити городских тестов. В качестве спикеров будут приглашены кураторы, художники и исследователи уличного и текстового искусства России.  Выставка будет включать в себя работы нанесенные непосредственно на стены, а также картины, постеры, стикеры, ЗИНы, паблик-арт и т.п. Поверхности галереи позволят разместить порядка пятидесяти работ разных художников со всей России.  Резиденция, которая будет проходить в течение пяти дней позволит создать работы непосредственно на стенах галереи. Десяти художникам будут предоставлены проезд, проживание, питание и материалы для работы.",0,0,0,0,0
4,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-11 21:20:34","animation","(File not included. Change data exporting settings to download.)",0,0,0,0,0
6,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:20","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
7,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
8,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
9,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
10,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
11,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
12,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
13,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-12 14:10:21","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
