"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
3,"Галерея «Ростов»","channel1394421129",-1,"2018-08-09 15:37:13","text","Уже завтра открывается новая экспозиция 10 августа в 17.00 Благотворительный фонд Лига Добра, общественная организация Платан, сеть магазинов «Галерея Времени» приглашают на открытие выставки-проекта  «ШКОЛА СОВРЕМЕННОЙ ЖИВОПИСИ. ИГРА В КЛАССИКИ» от Открытого творческого объединения ""ГРУППА ЛИЦ""  На открытии будет проведена лекция-экскурсия.  На вернисаже будут показаны 12 заданий, выполненных участниками проекта в период 2017-2018 годы:  1. «Невозможные копии»  2. «Фрагмент»  3. «Расскажи мне об этом»  4. «Селфи»  5. «Автограф»  6. «Помоги мне»  7. «Связанные»  8. «Писание»  9. «Хрома»  10. «Вторжение»  11. «Храмовники»  12. «Опять двойка»   Также в экспозицию входит видео и фото документация.   В ПРОЕКТЕ ПРИНИМАЛИ УЧАСТИЕ ХУДОЖНИКИ:  Вадим Мурин, Мария Богораз, Марианна Шпрайзер, Елена Лапко, Тимофей Сырый, Максим Ильинов, Тарас Шевченко, Мария Хардикова, Екатерина Клименко, Альберт Хамидович, Дмитрий Маренич, Оксана Завадская, Светлана Песецкая, Ольга Бондарева, Виктория Барвенко, Татьяна Чимпоеш, Захар Давыдов, Елена Мартенс, Марк Кучеров, Константин Зеленко, Василий Искренников, Алиса Лапко, Ирина Соснякова, Оксана Бегма.",0,0,0,0,0
4,"Галерея «Ростов»","channel1394421129",-1,"2018-08-09 15:39:36","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
10,"Галерея «Ростов»","channel1394421129",-1,"2018-09-06 14:28:54","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
11,"Галерея «Ростов»","channel1394421129",-1,"2018-09-06 14:28:57","text","Наши мероприятия на ближайшие дни  ⚡️На открытие выставки - вход свободный! ⚡️На мастер-класс по скульптуре обязательна предварительная запись! Стоимость 900 р. все материалы включены ⚡️На авторские читки Сергея Медведева вход свободный!  По всем вопросам звоните: 8 (918) 522-48-65  #галереяростов #галереянасоборном #соборный22 #искусство #картины #МКнаСоборном",0,0,0,1,0
12,"Галерея «Ростов»","channel1394421129",-1,"2018-09-15 19:53:38","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
13,"Галерея «Ростов»","channel1394421129",-1,"2018-09-15 19:53:38","text","Очень классный мастер-класс завтра в 14:00!  Стоимость: 700 р. (Все материалы включены!) Длительность: 2 часа  Запись по телефону: 8(918) 522 - 48 - 65 (Или в личку в любую соцсеть) Соборный 22, 2 этаж. _________________ #Соборный22 #галереянасоборном #галереяростов #выставка #МКнаСоборном #ростов #ростовнадону",0,0,0,1,0
14,"Галерея «Ростов»","channel1394421129",-1,"2018-10-01 19:00:59","link","⚡️ А вот и полная запись концерта ""Пекин Роу-Роу""! ⚡️ Кто был - пересматриваем и вспоминаем 😊 Кого не было - смотрим и наслаждаемся 😉  https://youtu.be/1xe9TewXG9o  #ПекинРоуРоу #галереянасоборном #соборный22 #галереяростов",0,0,0,1,0
16,"Галерея «Ростов»","channel1394421129",-1,"2018-10-12 18:00:50","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
17,"Галерея «Ростов»","channel1394421129",-1,"2018-10-14 21:43:03","link","А мы в инстаграме классную сумку разыгрываем! Подробности по ссылке 🔻🔻🔻 https://www.instagram.com/p/Bo6tpyDhWWv/?utm_source=ig_share_sheet&igshid=g9geld4f21cc",0,0,0,0,0
18,"Галерея «Ростов»","channel1394421129",-1,"2018-11-15 15:54:44","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
