,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
0,2023-02-10 13:35:10,"| Завтра утренник: история художницы Виктории Белокобыльской | 
 
Знакомьтесь с еще одним участником действующей выставки «Зимний этюд» в [club166150|@centr].step– художницей и организатором арт-резиденции под открытым небом Викторией Белокобыльской. 
 
Делимся с вами историей творческого пути, интересах и истории создания картин художницей в новом reels. 
 
Смотрите интервью и приходите на выставку знакомиться с работой Виктории ""Завтра утренник"" и насладиться работами других Донских авторов! «Зимний этюд» будет радовать и вдохновлять гостей до 26 февраля. 
 
⌛Вт-Вс: 12:00-20:00 
🎟Вход свободный 
 
ул. Береговая, 12",0,1.0,vk,0,15,4,372,624,1,2023,2,4,13
1,2023-02-07 08:26:34,"Кинопоказ | Бессметная возлюбленная | 9 февраля 
 
В Центре современной культуры «Степь» теперь можно смотреть кино – мировые шедевры русского и зарубежного кинематографа🎬 
 
Показы будут идти каждый четверг в 16:00 - совершенно бесплатно. На большом экране в окружении картин и скульптур донских авторов. 
 
В этот четверг мы приглашаем вас на просмотр биографической драмы о любви в жизни Людвига ван Бетховена «Бессметная возлюбленная». 
 
⌛9 февраля в 16:00 
🎟Вход свободный по предварительной регистрации на сайте по ссылке в шапке профиля. 
 
Центр современной культуры «Степь» 
ул. Береговая, 12",0,1.0,vk,4,12,1,316,602,1,2023,2,1,8
2,2023-02-06 11:46:43,"| Цикл авторских лекций Кристины Сасонко (г. Санкт-Петербург) | 24 и 25 февраля 
 
Специально по приглашению Центра современной культуры «Степь» в Ростове-на-Дону с циклом лекций выступит Кристина Сасонко - сооснователь Культурного центра и галереи Beriozka Gallery (г. Санкт-Петербург), основатель фонда «Новое искусствознание», доцент Санкт-Петербургского государственного университета промышленных технологий и дизайна, а еще куратор выставочных проектов. Выдающийся эксперт галерейного дела, арт-бизнеса и взаимодействия между художниками-галереями-коллекционерами. 
 
В ЦСК «Степь» Кристина Сасонко проведет цикл авторских лекций об искусстве с неформальной стороны: 
 
• 24 февраля в 18:30 | Лекция «Самые дорогие шедевры, подделки и аферы» 
 
Почему искусство стоит дорого? Кто и когда потратил сотни миллионов на искусство? А также возможно ли украсть картину из музея или продать подделку за миллион? Лекция про самые громкие преступления в мире искусства. 
 
• 25 февраля в 18:30 | Лекция «Отвратительное искусство» 
 
«Так ужасно, что даже красиво». Почему отвратительные сюжеты так привлекают художников и завораживают зрителя. 
 
⌛24 и 25 февраля, 18:30 (сбор гостей в 18:00) 
🎟Стоимость: 
• цикл из двух лекций – 1500₽ 
• одна лекция – 900 ₽ 
 
Приобрести билеты можно на сайте по ссылке в шапке профиля. 
 
Центр современной культуры «Степь» 
ул. Береговая, 12 
 
#цикллекцийростов #галереяростов #художникиростов #творческиелюди",0,4.0,vk,0,8,4,294,1444,1,2023,2,0,11
3,2023-02-04 08:15:30,,0,1.0,vk,0,31,3,442,0,1,2023,2,5,8
4,2023-02-01 13:30:16,"| Грани классической гитарной музыки | 11 февраля 
 
Концерт гитарной музыки от дуэта гитаристов Con Brio. 
 
⌛11 февраля, 18:30 (сбор гостей – в 18:00) 
🎟Стоимость билета – 600 ₽ 
 
Современная классическая гитара – не оксюморон. Это музыкальный инструмент, многогранность которого невозможно недооценить. 
 
Предлагаем отправиться в увлекательное путешествие по главным эпохам мира музыки на современной классической гитаре: начнём с XVII-XVIII века, времени И.С. Баха, Г. Генделя, Д. Скарлатти и Дж.Россини, и плавно перейдем к современным композиторам, таким как А. Пьяццолла, С. Руднев, С. Орехов, А. Виницкий, К. Доменикони и Р. Дьенс. 
 
Перед каждой композицией музыканты дуэта Con Brio расскажут историю ее создания и опишут образы музыкальной мысли, заложенные ее автором. 
 
Предлагаем вместе с @centr.step в полной мере оценить, насколько многогранна современная классическая гитара, и как ей подвластен любой репертуар. 
 
▪11 февраля, 18:30 (сбор гостей – в 18:00) 
▪Стоимость билета – 600 ₽ 
 
Центр современной культуры «Степь» 
ул. Береговая, 12",0,2.0,vk,0,25,4,750,1062,1,2023,2,2,13
5,2023-01-31 12:57:36,,0,1.0,vk,0,13,3,335,0,1,2023,1,1,12
6,2023-01-30 10:02:11,"| Концерт «Музыка о любви» | 14 февраля 
 
Музыка русских и зарубежных композиторов для арфы и флейты: от барокко до нью-эйдж. 
 
⌛️14 февраля, 18:30 
🎟Стоимость билета – 500 ₽ 
 
Любовь – чувство, которое на протяжении веков вдохновляло художников, поэтов и композиторов на создание самых прекрасных произведений искусства. 
 
Часть их них вы услышите 14 февраля, в День всех влюбленных, в стенах ЦСК «Степь» в исполнении дуэта Ирины Негадовой и Павла Бондаренко – на арфе и флейте, двух музыкальных инструментах, которым под силу передать всю гамму нежных чувств и красоту любви. 
 
В программе концерта – произведения русских и зарубежных композиторов, а также множество прекрасных историй о любви. 
 
▫14 февраля, 18:30 (сбор гостей – в 18:00) 
▫Билеты по ссылке в шапке профиля. 
 
Приходите за романтическим настроением в Центр современной культуры «Степь»💌 
 
ул. Береговая, 12",0,1.0,vk,3,18,7,496,884,1,2023,1,0,10
7,2023-01-25 10:32:50,"| Зимний Ростов на картинах художников | 
 
Вдохновение можно найти, в чем угодно – даже в большом и шумном городе: сигналах спешащих на работу машин, огнях, горящих ночью в окнах многоэтажных домов, и изученных вдоль и поперек проспектах. 
 
Приходите на действующую выставку «Зимний этюд» и ищите знакомые городские пейзажи на картинах донских художниках. 
 
⌛️Вт-Вс: 12:00-20:00 
🎟Вход свободный 
 
Выставка продлится до 26 февраля. 
 
Центр современной культуры «Степь» 
ул. Береговая, 12",0,1.0,vk,0,17,1,561,492,1,2023,1,2,10
8,2023-01-24 06:45:41,"Делимся фотоотчетом празднования Китайского Нового года в ЦСК ""СТЕПЬ"".",0,1.0,vk,0,10,0,373,70,1,2023,1,1,6
9,2023-01-24 06:35:33,"Дискуссионный клуб | Достоевский и его «Белые ночи» | 28.01

28 января в ЦСК «Степь» состоится особенное событие – открытие и первая встреча дискуссионного клуба для подростков «Азбука искусства».

⌛28 января в 13:00
🎟Участие бесплатное по предварительной регистрации по ссылке в шапке профиля. 

Темой встречи станет знаменитая повесть Ф.М. Достоевского «Белые ночи». В приятной камерной атмосфере мы обсудим основные проблемы произведения и проведем параллели между судьбами героев и судьбой самого автора в период написания повести.

К участию приглашаем всех желающих в возрасте от 13 до 15 лет. Будет содержательно и необычайно увлекательно!

▪28 января в 13:00
▪Вход по предварительной регистрации по ссылке в шапке профиля. Места ограничены.

Приходите и погружайтесь в искусство вместе с [club216229743|Центр современной культуры «СТЕПЬ»]",0,1.0,vk,0,5,0,307,846,1,2023,1,1,6
10,2023-01-23 09:45:26,"| Китайский Новый год в «Степи» |

Сегодня в ЦСК «Степь» мы торжественного перевернули последнюю страницу лунного китайского календаря и отпраздновали начало самого значимого для китайцев праздника – Китайского Нового года! 

Вместе с гостями в рамках празднования мы послушали лекцию об истории и современном положением китайской иероглифики, послушали, как звучит национальная инструментальная музыка, научились самостоятельно рисовать иероглифы, приняли участие в чайной церемонии и познакомились с практикой боевого искусства Тайцзи.

В конце всем гостям были вручены памятные китайские подарки – волшебный красный конверт хунбао и традиционное печенье с предсказаниями🥠

Подкрепляем наши слова и впечатления подробным видеообзором. 

Центр современной культуры «Степь»
ул. Береговая, 12",0,1.0,api,0,19,2,453,791,0,2023,1,0,9
