,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
0,2023-01-25 17:02:37,"Свежее вдохновляющее расписание, новое место и время встреч. Февраль — месяц прекрасных перемен ❤️

Дорогие любители интеллектуального отдыха, сегодня хотим поблагодарить вас за диалог и обратную связь. Вместе мы создаем качественный культурный отдых в Ростове-на-Дону. 

С февраля мы переезжаем в новый дом — исторический особняк 19 века в самом центре города. Атмосферный и просторный зал, удобные стулья и соседство с любимыми ресторанами. А ещё меняем время лекций на предпочтительное для большинства наших слушателей — с 19:00 до 21:00. 

Неизменными остаются качество наших лекций, ведущие эксперты города в команде и забота о том, чтобы вас вечер прошел идеально 🫶

До встречи на Чехова, 35/30! Ваши друзья из лектория «Маяк» 💫",1.0,10.0,api,2,10,6,436,734,0,2023,1,2,17
1,2023-02-13 15:54:35,"Друзья, планируем культпоходы вместе 💛 Ниже собрали анонсы интересных мероприятий недели. 

▫️ Молодежный театр
14 февраля в 14:30 спектакль «Уроки выживания». Дань памяти победе в Великой Отечественной войне. Билеты от 450 руб. 

 ▫️ Лекторий «Маяк»
14 февраля в 19:00 лекция «Анна Ахматова. Симфония поколения». Лекция о поэте Серебряного века с самой трагичной судьбой. Билеты 900 руб. 

 ▫️ Горизонт Cinema&Emotion
14 февраля в 19:00 спектакль в кино «Джульетта и Ромео». Острый и мрачный спектакль Матса Эка, ставший классикой современного танца. Билеты от 500 руб. 

▫️Центр современной культуры «Степь»
14 февраля в 18:30 концерт «Музыка о любви». Музыка русских и зарубежных композиторов для арфы и флейты: от барокко до нью-эйдж. Билеты 500 руб. 

▫️ Киноцентр «Большой»
15 февраля в 19:30 концерт в кино. «Курентзис. Бетховен. Симфония No. 9». Первая в истории запись Девятой симфонии в исполнении оркестра под управлением Теодора Курентзиса. Билеты от 450 руб. 

▫️ Лекторий «Маяк»
17 февраля в 19:00 лекция «Титаны эпохи Возрождения. Леонардо да Винчи». Первая из цикла лекций о гениях Ренессанса. Билеты 900 руб. 

▫️ Театр драмы им. Горького
17 февраля в 18:30 спектакль «Женитьба». Постановка по одноименной пьесе Николая Гоголя. Билеты от 400 руб. 

▫️ Театр «Человек в кубе»
17 февраля в 19:00 спектакль «Гоголь (13 снов)». Мистическое путешествие с четырьмя двойниками. Билеты от 1000 руб. 

▫️ Областной музей изобразительных искусств
18 февраля в 15:00 лекция «Орест Кипренский». Лекция о творчестве портретиста. Билеты 200 руб. 

▫️ ДК «Ростсельмаш»
18 февраля в 18:00 концерт «Неоклассика. Музыка Людовико Эйнауди». Лучшее из произведений композитора в исполнении оркестра CAGMO. Билеты от 1100 руб. 

▫️ Филармония
18 февраля в 16:00 концерт «Марк Твен. Письма с Земли». Программа раскроет писателя как философа и великого насмешника. Билеты от 250 руб. 

▫️Музыкальный театр
18 февраля в 18:00 оперетта «Веселая вдова». Яркая оперетта, полная легкомыслия Монмартра, которая считается одной из лучших в истории жанра. Билеты от 500 руб. 

▫️ Джаз-клуб «Эссе»
18 февраля в 20:00 концерт «Оксана Ференчук. Песни о любви». В программе песни Лидии Клемент, Анны Герман, Билли Холидей и других. Билеты 900 руб. 

▫️ Театр «Линии»
19 февраля в 20:00 спектакль «Иоганнес и Маргарет». Постановка для взрослых от театра объектов «Муха». Билеты от 1500 руб. 

С пожеланием нескучного культурного отдыха, ваш «Маяк» 😌",0.0,1.0,api,0,6,2,233,2429,0,2023,2,0,15
2,2023-02-10 16:08:38,"По масштабу, многогранности и сложности личности с ним не может сравниться никто. 

Исторические факты и легенды, научные открытия и художественный вымысел — всё перемешалось вокруг имени Леонардо да Винчи. 

На лекции-бестселлере от искусствоведа Антонины Арсентевны Нарыжной мы переместимся в Италию XV века. Чтобы узнать о жизни, которая была невероятно богата исследованиями, открытиями и творчеством.

На лекции вы узнаете: 
▫️Почему Леонардо писал в своих знаменитых дневниках справа налево в зеркальном отражении? 
▫️Как так получилось, что Леонардо да Винчи умер на руках у французского короля? 
▫️Правда ли, что клоуны и музыканты развлекали Мона Лизу, когда она позировала художнику? И сколько сеансов потребовалось для ее написания? 
▫️Правда ли, что уголки губ Джоконды со временем поднимаются все выше? 

▪️О ЛЕКТОРЕ. Антонина Нарыжная — искусствовед, заместитель директора по научной работе Ростовского областного музея изобразительных искусств, эксперт по произведениям искусства 

ГДЕ: Чехова, 35/30(Вокруг.Центр, 2 этаж, зал «Рассказы»)
КОГДА: 17 февраля, пятница, 19:00-21:00
ДЛЯ КОГО: для широкого круга слушателей.
ЦЕНА: 900 руб. 
 
Бронирование мест в директ или по ссылке в шапке профиля обязательно. Количество мест ограничено. Ждём вас 💛",0.0,1.0,api,0,5,1,223,1264,0,2023,2,4,16
3,2023-02-08 13:03:07,"История костюма | Московский ЦУМ

История одного из самых известных универмагов России берёт своё начало в 1892 году, когда бизнесмены из Шотландии Эндрю Мюр и Арчибальд Мерилиз открыли в Москве свой магазин. Изначально здесь продавали дамские шляпки, булавки, перчатки и другие мелкие вещи. 

Постепенно в магазине появлялись новые отделы, количество которых вскоре достигло 48. Уже через пять лет после открытия в ЦУМе, который тогда носил имя основателей — «Мюр и Мерилиз», — можно было купить абсолютно любые товары, кроме продуктов питания. 

В 1895 году магазин стал рассылать каталоги, благодаря которым жители практически любого уголка России могли заказать товар по почте. До ЦУМа ни один магазин не вводил такую практику. А ещё все цены на товары в «Мюр и Мерилиз» были фиксированными и указывались на бирках, что в те времена тоже было неслыханным, ведь в России покупатели привыкли торговаться везде и всюду. 

24 ноября 1900 года магазин «Мюр и Мерилиз» полностью сгорел. Шотландцы , несмотря на колоссальные убытки, решили строить новое здание. Проект магазина они заказали известному архитектору Роману Клейну. Он не только придал ЦУМу узнаваемый сегодня облик, но и впервые в истории российского строительства использовал в проекте технологию монолитного железобетонного фундамента. 

Уже в 1908 году семиэтажный универмаг в готическом стиле распахнул свои двери и произвёл настоящий фурор. Оснащение магазина было просто невиданным: люди приходили увидеть электрические лифты, вращающиеся двери, комнаты отдыха и ожидания, стойки справочной информации. Для гостей и покупателей в универмаге работал ресторан с изысканным меню. 

Поражал своим богатством и ассортимент: в «Мюр и Мерилиз» было 60 отделов, а от покупателей не было отбоя. Цены на товары были умеренными и по-прежнему фиксированными, поэтому покупки из самого популярного магазина России могли позволить себе люди из разных слоёв населения.

Точку в «шотландской» истории ЦУМа поставила революция 1917 года, после которой магазин почти сразу национализировали. В начале 1920-х «Мюр и Мерилиз» открылся под названием «Мосторг», но вскоре его переименовали в привычный нам ЦУМ - Центральный Универсальный Магазин. 

С 1950 года ЦУМ начал превращаться в магазин с товарами повышенного качества. За универмагом были закреплены отдельные фабрики, которые выпускали товары только для ЦУМа по его заказам. А в 1955 году из магазина убрали привычные советским покупателям прилавки и ввели инновационную для того времени систему самообслуживания с продавцами-консультантами. 

Сегодня ЦУМ занимает целый квартал. На пяти этажах магазина представлено более 1500 брендов одежды, обуви, аксессуаров, косметики и парфюмерии, предметов декора и интерьера. Здесь работают рестораны и продуктовый магазин, есть ателье и химчистка, а у покупателей есть возможность провести шопинг с персональным стилистом.

#историякостюма_маяк",0.0,7.0,api,4,22,1,318,2891,0,2023,2,2,13
4,2023-02-06 14:55:57,"Дорогие любители интеллектуального отдыха, согреваемся искусством в ожидании весны. Сделали свежую подборку культурных событий недели 😌

▫️ Филармония
7 февраля в 19:00 концерт «Чудо классики: Граф Муржа и Белгородский симфонический оркестр». Билеты от 300 руб. 

▫️ Театр драмы им. Горького
7 февраля в 18:30 спектакль «Счастливый номер (Подыскиваю жену. Недорого)». Легкая ироничная комедия о судьбе героя-миллионера. Билеты от 800 руб. 

▫️ Молодежный театр
8 февраля в 14:00 спектакль «Вечера на хуторе близ Диканьки». Сказка для взрослых с песнями в живом исполнении. Билеты от 500 руб. 

▫️ Киноцентр «Большой»
8 февраля в 19:30 спектакль в кино «Доктор Фауст». Пьеса Кристофера Марло в театре «Глобус» с Артуром Дарвиллом в роли Мефистофеля. Билеты от 450 руб. 

▫️ Лекторий «Маяк»
9 февраля в 19:00 лекция «Парфюмеры Его Величества». Лекция об ароматах Российской Империи и тех, кто их создавал. Билеты 900 руб. Подробности и билеты здесь: https://mayaklektory.ru/parfums_empire

▫️ Музыкальный театр
8 и 9 февраля в 19:00 спектакль «Алые паруса». Оригинальная интерпретация сочинения Александра Грина. Билеты от 1100 руб. 

▫️ Молодежный театр
10 февраля в 19:00 спектакль «Коварство и любовь».
Остросюжетная драма по мотивам пьесы Фридриха Шиллера. Билеты от 500 руб. 

▫️ Театр «Линии»
10 февраля в 20:00 камерная опера «Это любовь». История, которая показывает Ростов-на-Дону как город, наполненный магией. Билеты от 1500 руб. 

▫️ Ростовский областной музей изобразительных искусств
11 февраля в 15:00 лекция «Карл Брюллов». О жизни художника,  наполненной взлетами, падениями и колоссальным трудом. Билеты 200 руб. 

▫️ Театр «Человек в кубе»
10 и 11 февраля в 19:00 спектакль «Рождественская история». Спектакль по мотивам повести-сказки Чарльза Диккенса. Билеты от 900 руб. 

▫️ Центр современной культуры «Степь»
11 февраля в 18:30 концерт «Грани классической  гитарной музыки». Произведения Баха, Россини, Пьяццоло и других классиков в исполнении гитаристов Con Brio. Билеты 600 руб. 

▫️ Музыкальный театр
12 февраля в 18:00 оперетта «Цыганский барон». Обновленная версия спектакля. Билеты от 500 руб. 

С заботой о вашем досуге, «Маяк» 💛",0.0,2.0,api,0,12,2,255,2157,0,2023,2,0,14
5,2023-02-06 08:08:41,,0.0,1.0,vk,0,20,1,267,0,1,2023,2,0,8
6,2023-02-03 09:11:21,"Глубокий экономический кризис, безработица, бедность, разорение, крах человеческой судьбы. На ближайшей встрече клуба мы войдём под тёмные своды ночлежного дома. 

Мы обсудим героев Горького: тех, что с тоской смотрит в прошлое, тех, кто пытается изменить настоящее, и тех, кто, отчаявшись, всё же ждёт чего-то в будущем.

На встрече вы узнаете:
▫️Что помогает и мешает жить горьковским героям, как обрести человеческое достоинство в непростых ситуациях? 
▫️Можно ли найти силы на воскрешение и новую жизнь, если твои товарищи не стремятся к «божественной» сущности? 
▫️Существует ли праведная земля, где люди «друг дружку уважают, друг дружке – завсяко-просто – помогают… и все у них славно-хорошо»? 

▪️МОДЕРАТОР. Наталья Марченко — кандидат филологических наук, автор научных статей в ведущих российских и зарубежных журналах, спикер и лектор городских мероприятий

ЧТО: Встреча литературного клуба с обсуждением пьесы Максима Горького «На дне»
КОГДА: 12 и 26 февраля, воскресенье, 11:00-12:30
ГДЕ: Шаумяна, 39 (Бутик-отель «39») 
ЦЕНА: 900 руб. 

Предварительное бронирование в директ или по ссылке в шапке профиля обязательно. Количество мест ограничено.",0.0,1.0,api,0,6,0,239,1161,0,2023,2,4,9
7,2023-01-31 10:57:41,"Друзья, в феврале готовимся встречать вас в новом пространстве — просторном и светлом зале исторического особняка XIX века. О первой лекции в новом доме «Маяка» читайте ниже ❤️

Лекцию «Парфюмеры Его Величества» мы посвятили мастерам, которые создавали ароматы Российской империи и смогли прославить их на весь мир. 

💔Особая ценность в том, что мы будем не только обсуждать парфюм, но и наблюдать за экспериментами и дегустировать ароматы из прошлого. А ещё на лекции вы увидите уникальную коллекцию парфюмерных флаконов и косметики Российской Империи. 

На лекции вы узнаете: 
▫️Как зарождались парфюмерные дома дореволюционной России? 
▫️Какими ароматами пользовались Николай II и его семья?
▫️У каких зарубежных парфюмерных шедевров российские корни? 
▫️Кто был потребителем дореволюционной парфюмерии? 
▫️Как звучали ароматы дореволюционной России? 

▪️О ЛЕКТОРЕ: Михаил Клецкий — кандидат химических наук, доцент химического факультета ЮФУ, директор Естественнонаучного музея ЮФУ. 🧪Ассистент: доцент химического факультета ЮФУ Олег Буров. 
▪️ПОЛЬЗА: На лекции мы поговорим о золотом веке русской парфюмерии, когда целый мир был охвачен изысканностью ароматов и красотой флаконов, созданных российскими мастерами. 

КОГДА: 9 февраля, четверг, 19:00-21:00
ГДЕ: Чехова, 35/30(Вокруг.Центр, 2 этаж, зал «Рассказы») 
ЦЕНА: 900 руб. 

Предварительное бронирование в директ или по ссылке в шапке профиля обязательно. Количество мест ограничено.",0.0,1.0,api,0,7,1,220,1443,0,2023,1,1,10
8,2023-01-30 11:25:43,"Дорогие любители интеллектуального отдыха, мы внимательно проверили все анонсы и выбрали для вас интересные культурные события нашего города, где пока есть билеты. 

▫️ Когресс-холл ДГТУ
30 января в 19:00 спектакль «Ищу мужа». В ролях Михаил Полицеймако, Мария Порошина и Даниил Спиваковский. Билеты от 1600 руб.

▫️ Лекторий «Маяк»
31 января в 18:30 лекция «Иосиф Бродский. Путь к признанию». Лекция-байопик о самом сложном поэте ХХ века, которого так просто понять. Билеты 900 руб. Подробности и бронирование здесь: https://mayaklektory.ru/iosif_brodsky

▫️ Театр драмы им. Горького
31 января в 19:00 спектакль «Бывшие». Авантюрная комедия со знаменитыми актерами. Билеты от 4000 руб. 
2 февраля в 18:30 спектакль «Горе от ума». Спектакль по мотивам комедии Александра Грибоедова с молодыми актерами. Билеты от 300 руб. 

▫️ Молодежный театр
3 февраля в 19:00 спектакль «Дон Жуан». Захватывающая история любовных похождений легендарного героя литературы. Билеты от 500 руб. 

▫️ Ростовский областной музей изобразительных искусств
С 3 февраля выставка «Руки». Изображения рук как свидетельство времени, в котором они жили и служили людям. Билеты от 20 руб.

▫️ ДК «Ростсельмаш»
4 февраля в 19:00 концерт «Неоклассика. Лучшее». В программе лучшее из произведений Людовико Эйнауди, Ханса Циммера, Макса Рихтера и других. Билеты от 1300 руб. 

▫️ Филармония
4 февраля в 18:00 концерт «Моцарт+Паганини». Играет Ростовский академический симфонический оркестр. Билеты от 300 руб. 

▫️ Театр «Человек в кубе»
4 февраля в 19:00 спектакль «Город влюбленных людей». Билеты от 900 руб. 

▫️ Горизонт Cinema&Emotion
4 февраля в 14:30 опера в кино «Трубадур». Дебют Анны Нетребко на Арене ди Верона. Билеты от 600 руб.

▫️Театр объектов «Муха»
4 февраля в 15:00 спектакль для всей семьи «Дом, который пошёл». Коллаж-комедия по мотивам одноименной книги Александра Блинова. Билеты 700 руб. 

▫️ Музыкальный театр
5 февраля в 18:00 балет «Дон Кихот». Одно из лучших творений хореографа Мариуса Петипа. Билеты от 500 руб. 

▫️ Киноцентр «Большой»
5 февраля в 15:00 документальный фильм «Сальвадор Дали: В поисках бессмертия». Билеты от 300 руб. 

Насыщенной культурной недели, ваш «Маяк» 💛",0.0,2.0,api,0,9,2,179,2175,0,2023,1,0,11
9,2023-01-28 12:00:23,,0.0,1.0,vk,0,5,0,199,0,1,2023,1,5,12
