,date,text,is_pinned,attachments,post_source,comments,likes,reposts,views,len_text,post_source_id,year,month,dayofweek,hour
0,2023-02-15 10:03:44,"Сегодня 106 лет со дня рождения заслуженного художника РФ Семена Сергеевича Скопцова (1917-1998).
Из фондов музея #МСИИД : заслуженный художник РФ ""Портрет профессора"", 1951г., х/м, 90х113
#донскиехудожники",0,1.0,vk,0,6,0,80.0,206,1,2023,2,2,10
1,2023-02-14 08:02:57,"Сегодня 107 лет со дня рождения таганрогского художника Михаила Алексеевича Новикова (1916-2008).
Из фондов музея #МСИИД : Новиков Михаил ""Антонина (жена художника)"", 1939г., х/м, 64х47,5
#донскиехудожники",0,1.0,vk,0,43,2,989.0,205,1,2023,2,1,8
2,2023-02-14 07:55:01,"Сегодня 100 (!!!) лет со дня рождения ростовского художника Георгия Павловича Солонина (1923-2013).
Из фондов музея #МСИИД : Солонин Георгий ""Ростов. Водник"", 1965г., б/гуашь, 36х64
#донскиехудожники",0,1.0,vk,0,10,0,134.0,199,1,2023,2,1,7
3,2023-02-14 07:47:31,"День освобождения Ростова-на-Дону от немецко-фашистских захватчиков.
Из фондов музея #МСИИД : заслуженный художник РСФСР Лень Виктор (1914-1978) ""Агитплакат Дона""
#донскиехудожники",0,1.0,vk,0,11,0,109.0,180,1,2023,2,1,7
4,2023-02-13 12:32:43,МСИИД приглашает в параллельную вселенную,0,1.0,vk,0,9,2,157.0,41,1,2023,2,0,12
5,2023-02-13 08:23:36,"Поздравляем с днем рождения (12 февраля) ростовского скульптора-керамиста, педагога Валерия Николаевича Сырова! Желаем здоровья и творческих успехов!
Из фондов музея #МСИИД : Сыров Валерий ""Автопортретное представление"", керамика-дерево, 2020
#донскиехудожники",0,1.0,vk,0,8,0,160.0,260,1,2023,2,0,8
6,2023-02-10 21:02:45,"На 18 минуте с начала выпуска новостей  репортаж о выставке Михаила Баринова ""Игры разума"" https://dontr.ru/vypuski/vesti-don-07-02-2023-vypusk-09-00/",0,1.0,api,0,3,0,120.0,150,0,2023,2,4,21
7,2023-02-10 09:22:10,"Сегодня 105 лет со дня рождения донского и ленинградского художника Владимира Федоровича Токарева (1918-1988).
Из фондов музея #МСИИД : Токарев Владимир ""Портрет"", 1946г., б/кар, 21,5х30,5 
#донскиехудожники",0,1.0,vk,0,31,2,921.0,207,1,2023,2,4,9
8,2023-02-09 10:51:18,"Из фондов музея #МСИИД : Курков Игорь ""Ладога"", х/м, 1974г., 70х100
#донскиехудожники",0,1.0,vk,0,39,3,1051.0,85,1,2023,2,3,10
9,2023-02-08 09:09:24,"Работы с выставки ""Игры разума"". Совет: если некоторые картины подсветить фонариком мобильного телефона, можно получить другое впечатление от просмотра.",0,8.0,api,0,10,1,144.0,152,0,2023,2,2,9
10,2023-02-07 09:47:06,"Из фондов музея #МСИИД : Кузменко Алексей ""Перестройка"" х/м, 74х96 1987г
#донскиехудожники",0,1.0,vk,2,24,3,1113.0,90,1,2023,2,1,9
11,2023-02-06 10:15:44,"От всей души поздравляем с днем рождения ростовского художника и педагога Александра Савеленко! Желаем ему больших творческих успехов !
Из фондов музея #МСИИД: Савеленко Александр ""Осень в Раздорах"", 2012г., х/м, 56х75
#донскиехудожники",0,1.0,vk,2,21,0,350.0,236,1,2023,2,0,10
12,2023-02-04 16:26:08,https://vk.com/album-125338701_291413411,0,1.0,api,1,23,1,351.0,40,0,2023,2,5,16
13,2023-02-03 14:18:14,Ждём всех завтра 4  февраля в 17.00 на открытии выставки.,0,1.0,api,0,24,3,502.0,57,0,2023,2,4,14
14,2023-02-03 12:41:19,Монтаж новой выставки. Открытие завтра.,0,4.0,api,0,40,0,634.0,39,0,2023,2,4,12
